sample,gene,weight
WT1,Rv1295,0.0
WT1,Rv2573,-1.0
WT1,Rv3290c,1.0
WT1,Rv2589,0.0
WT1,Rv1323,1.0
WT1,Rv3535c,1.0
WT1,Rv0254c,0.0
WT1,Rv3280,0.0
WT1,Rv0904c,0.0
WT1,Rv3281,0.0
WT1,Rv3441c,0.0
WT1,Rv1302,0.0
WT1,Rv1654,0.0
WT1,Rv2747,0.0
WT1,Rv1653,0.0
WT1,Rv0409,0.0
WT1,Rv1820,0.0
WT1,Rv3509c,0.0
WT1,Rv3002c,0.0
WT1,Rv3003c,0.0
WT1,Rv3470c,-1.0
WT1,Rv2922A,0.0
WT1,Rv1475c,0.0
WT1,Rv1655,0.0
WT1,Rv3310,0.0
WT1,Rv2523c,0.0
WT1,Rv3667,0.0
WT1,Rv3313c,-1.0
WT1,Rv0812,0.0
WT1,Rv2236c,0.0
WT1,Rv1005c,0.0
WT1,Rv0013,0.0
WT1,Rv0255c,-1.0
WT1,Rv2848c,0.0
WT1,Rv0733,0.0
WT1,Rv1625c,1.0
WT1,Rv2212,0.0
WT1,Rv1900c,0.0
WT1,Rv1264,1.0
WT1,Rv1320c,0.0
WT1,Rv1318c,0.0
WT1,Rv1319c,-1.0
WT1,Rv3377c,-1.0
WT1,Rv2435c,-1.0
WT1,Rv1647,0.0
WT1,Rv1120c,-1.0
WT1,Rv2202c,1.0
WT1,Rv2208,0.0
WT1,Rv2584c,0.0
WT1,Rv1285,1.0
WT1,Rv1286,1.0
WT1,Rv0777,0.0
WT1,Rv0357c,0.0
WT1,Rv3795,0.0
WT1,Rv3794,0.0
WT1,Rv3792,-1.0
WT1,Rv3332,0.0
WT1,Rv2182c,1.0
WT1,Rv2483c,1.0
WT1,Rv1652,0.0
WT1,Rv3248c,0.0
WT1,Rv0091,0.0
WT1,Rv0423c,0.0
WT1,Rv0957,0.0
WT1,Rv3276c,0.0
WT1,Rv3257c,0.0
WT1,Rv3275c,0.0
WT1,Rv2215,1.0
WT1,Rv3330,0.0
WT1,Rv2981c,0.0
WT1,Rv2780,1.0
WT1,Rv3423c,0.0
WT1,Rv2259,0.0
WT1,Rv1895,1.0
WT1,Rv3045,0.0
WT1,Rv2858c,0.0
WT1,Rv0458,0.0
WT1,Rv0768,1.0
WT1,Rv0147,0.0
WT1,Rv3293,0.0
WT1,Rv1568,0.0
WT1,Rv2363,0.0
WT1,Rv2467,0.0
WT1,Rv2192c,0.0
WT1,Rv1609,0.0
WT1,Rv1569,0.0
WT1,Rv0032,-1.0
WT1,Rv2671,-1.0
WT1,Rv2531c,0.0
WT1,Rv1001,0.0
WT1,Rv1659,0.0
WT1,Rv1658,0.0
WT1,Rv2320c,0.0
WT1,Rv3708c,0.0
WT1,Rv1538c,0.0
WT1,Rv2201,0.0
WT1,Rv0346c,0.0
WT1,Rv2127,0.0
WT1,Rv3601c,0.0
WT1,Rv1380,-1.0
WT1,Rv3709c,0.0
WT1,Rv1595,1.0
WT1,Rv3565,-1.0
WT1,Rv0337c,0.0
WT1,Rv2121c,0.0
WT1,Rv1310,0.0
WT1,Rv1305,1.0
WT1,Rv1308,0.0
WT1,Rv1309,0.0
WT1,Rv1306,1.0
WT1,Rv1307,1.0
WT1,Rv1304,1.0
WT1,Rv1311,0.0
WT1,Rv3279c,0.0
WT1,Rv0522,0.0
WT1,Rv0223c,0.0
WT1,Rv1589,0.0
WT1,Rv0107c,0.0
WT1,Rv1908c,1.0
WT1,Rv1607,0.0
WT1,Rv2849c,0.0
WT1,Rv1383,0.0
WT1,Rv1384,0.0
WT1,Rv2289,0.0
WT1,Rv1011,0.0
WT1,Rv2612c,0.0
WT1,Rv3759c,0.0
WT1,Rv3756c,0.0
WT1,Rv3758c,0.0
WT1,Rv3757c,0.0
WT1,Rv1885c,0.0
WT1,Rv0948c,0.0
WT1,Rv2540c,1.0
WT1,Rv2949c,0.0
WT1,Rv2130c,0.0
WT1,Rv2498c,1.0
WT1,Rv3075c,0.0
WT1,Rv0464c,0.0
WT1,Rv0771,0.0
WT1,Rv1239c,0.0
WT1,Rv2062c,0.0
WT1,Rv0375c,-1.0
WT1,Rv0373c,-1.0
WT1,Rv0374c,-1.0
WT1,Rv2066,0.0
WT1,Rv2071c,-1.0
WT1,Rv2072c,-1.0
WT1,Rv2070c,0.0
WT1,Rv2065,0.0
WT1,Rv2388c,0.0
WT1,Rv1131,0.0
WT1,Rv0889c,1.0
WT1,Rv0896,0.0
WT1,Rv1699,0.0
WT1,Rv3283,1.0
WT1,Rv0390,0.0
WT1,Rv2194,1.0
WT1,Rv2196,1.0
WT1,Rv2195,1.0
WT1,Rv3043c,0.0
WT1,Rv1451,1.0
