sample,reaction,lb,ub
WT1,2AGPEAT160,0.0,1000.0
WT1,2AGPEAT180,0.0,1000.0
WT1,5DGLCNR,0.0,0.0
WT1,AACPS10,0.0,1000.0
WT1,AACPS11,0.0,1000.0
WT1,AACPS3,0.0,1000.0
WT1,ABTA,0.0,1000.0
WT1,ACACT1r,0.0,6.315532384327692e-08
WT1,ACALDi,0.0,1.0000000000000002
WT1,ACBIPGT,0.0,1000.0
WT1,ACCC,0.0,1000.0
WT1,ACChex,0.0,1000.0
WT1,ACGAMPM,-1000.0,1000.0
WT1,ACGAMT,0.0,1000.0
WT1,ACGK,0.0,1000.0
WT1,ACGS,0.0,1000.0
WT1,ACHBS,0.0,1000.0
WT1,ACKr,-1000.0,1000.0
WT1,ACLS,0.0,1000.0
WT1,ACODA,0.0,0.0
WT1,ACONT,-1000.0,1000.0
WT1,ACOTA,-1000.0,1000.0
WT1,ACP1_FMN,0.0,1000.0
WT1,ACPS1,0.0,1000.0
WT1,ACS,0.0,1000.0
WT1,ACS2,0.0,1000.0
WT1,ACYSBMNt,-1000.0,1000.0
WT1,ADA,0.0,0.9249999999999994
WT1,ADCL,0.0,1000.0
WT1,ADCPS1,0.0,1000.0
WT1,ADCPS2,0.0,1000.0
WT1,ADCS,0.0,1000.0
WT1,ADCYRS,0.0,0.0
WT1,ADK1,-1000.0,1000.0
WT1,ADK2,-1000.0,1000.0
WT1,ADMDCr,-1000.0,1000.0
WT1,ADNCYC,0.0,1.1749999999999998
WT1,ADNK1,0.0,2.3499999999999996
WT1,ADNK3,0.0,2.3499999999999996
WT1,ADNK4,0.0,2.35
WT1,ADOCBIK,0.0,1000.0
WT1,ADOCBLS,0.0,1000.0
WT1,ADPT,0.0,1000.0
WT1,ADSK,0.0,2.3499999999999996
WT1,ADSL1r,-1000.0,1000.0
WT1,ADSL2r,-1000.0,1000.0
WT1,ADSS,0.0,1000.0
WT1,AFTA,0.0,9.951142747840427e-06
WT1,AGDC,0.0,1000.0
WT1,AGMT,0.0,1000.0
WT1,AGPAT160,0.0,0.31333333333335167
WT1,AGPAT160190,0.0,0.0005041051166472243
WT1,AGPAT190,0.0,0.000166310685294619
WT1,AGPR,-1000.0,1000.0
WT1,AHC,-1000.0,1000.0
WT1,AHCYSNS,0.0,1000.0
WT1,AHMMPS,0.0,1000.0
WT1,AICART,-1000.0,1000.0
WT1,AIRCr,0.0,1000.0
WT1,AKGDb,0.0,1.8399999999999999
WT1,ALAALAD,0.0,1000.0
WT1,ALAALAr,-1000.0,1000.0
WT1,ALAD_L,0.0,1000.0
WT1,ALAR,-1000.0,1000.0
WT1,ALAt2r,-1000.0,1000.0
WT1,ALDD1,0.0,0.0
WT1,ALDD19x,0.0,1000.0
WT1,ALDD2x,0.0,1000.0
WT1,AMAOTr,-1000.0,1000.0
WT1,AMID4,0.0,1000.0
WT1,AMMQT8,0.0,1000.0
WT1,AMMQT8_2,0.0,1000.0
WT1,AMPTASECG,0.0,1000.0
WT1,ANPRT,0.0,1000.0
WT1,ANS,0.0,1000.0
WT1,AOXSr,0.0,0.0
WT1,APRAUR,0.0,1000.0
WT1,ARACHTA,-1000.0,1000.0
WT1,ARB_Dabc,0.0,1000.0
WT1,ARBabc,0.0,1000.0
WT1,ARBt2r,-1000.0,1000.0
WT1,ARGDC,0.0,1000.0
WT1,ARGDr,0.0,1000.0
WT1,ARGSL,0.0,1000.0
WT1,ARGSS,0.0,1000.0
WT1,ARGt5r,-1000.0,1000.0
WT1,ASAD,-1000.0,1000.0
WT1,ASNN,0.0,1000.0
WT1,ASNS1,0.0,1000.0
WT1,ASNt2r,-1000.0,1000.0
WT1,ASP1DC,0.0,1000.0
WT1,ASPCT,0.0,0.09600000000000006
WT1,ASPK,-1000.0,1000.0
WT1,ASPO5,0.0,0.00039205596598890224
WT1,ASPTA,-1000.0,1000.0
WT1,ASPt2r,-1000.0,1000.0
WT1,AST,0.0,1000.0
WT1,ATPPRT,0.0,1000.0
WT1,ATPS4r,-1000.0,1000.0
WT1,BACCL,0.0,1000.0
WT1,BALAt2r,-1000.0,1000.0
WT1,BDH,-1000.0,1000.0
WT1,BETALDHx,0.0,1000.0
WT1,BMNMSHS,0.0,1000.0
WT1,BMNt,-1000.0,1000.0
WT1,BPNT,0.0,0.23750000012398687
WT1,BTS2,-1000.0,1000.0
WT1,BTS3r,-1000.0,1000.0
WT1,CAATPS,0.0,1000.0
WT1,CAT,0.0,1.6750000000005114
WT1,CAt4,-1000.0,1000.0
WT1,CBIAT,-1000.0,1000.0
WT1,CBLAT,-1000.0,1000.0
WT1,CBPS,0.0,1000.0
WT1,CDAPPA160,0.0,1000.0
WT1,CDAPPA160190,0.0,1000.0
WT1,CDAPPA190,0.0,1000.0
WT1,CDPMEK,0.0,1000.0
WT1,CDPPT160,0.0,1000.0
WT1,CDPPT160190,0.0,1000.0
WT1,CHLabc,0.0,1000.0
WT1,CHOLD,0.0,1000.0
