sample,reaction,weight
WT1,2AGPEAT160,0.0
WT1,2AGPEAT180,0.0
WT1,5DGLCNR,-1.0
WT1,AACPS10,0.0
WT1,AACPS11,0.0
WT1,AACPS3,0.0
WT1,ABTA,0.0
WT1,ACACT1r,1.0
WT1,ACALDi,1.0
WT1,ACBIPGT,0.0
WT1,ACCC,0.0
WT1,ACChex,0.0
WT1,ACGAMPM,0.0
WT1,ACGAMT,0.0
WT1,ACGK,0.0
WT1,ACGS,0.0
WT1,ACHBS,0.0
WT1,ACKr,0.0
WT1,ACLS,0.0
WT1,ACODA,0.0
WT1,ACONT,0.0
WT1,ACOTA,0.0
WT1,ACP1_FMN,0.0
WT1,ACPS1,0.0
WT1,ACS,0.0
WT1,ACS2,0.0
WT1,ACYSBMNt,0.0
WT1,ADA,-1.0
WT1,ADCL,0.0
WT1,ADCPS1,0.0
WT1,ADCPS2,0.0
WT1,ADCS,0.0
WT1,ADCYRS,-1.0
WT1,ADK1,0.0
WT1,ADK2,0.0
WT1,ADMDCr,0.0
WT1,ADNCYC,1.0
WT1,ADNK1,1.0
WT1,ADNK3,1.0
WT1,ADNK4,1.0
WT1,ADOCBIK,0.0
WT1,ADOCBLS,0.0
WT1,ADPT,0.0
WT1,ADSK,1.0
WT1,ADSL1r,0.0
WT1,ADSL2r,0.0
WT1,ADSS,0.0
WT1,AFTA,-1.0
WT1,AGDC,0.0
WT1,AGMT,0.0
WT1,AGPAT160,1.0
WT1,AGPAT160190,1.0
WT1,AGPAT190,1.0
WT1,AGPR,0.0
WT1,AHC,0.0
WT1,AHCYSNS,0.0
WT1,AHMMPS,0.0
WT1,AICART,0.0
WT1,AIRCr,0.0
WT1,AKGDb,1.0
WT1,ALAALAD,0.0
WT1,ALAALAr,0.0
WT1,ALAD_L,1.0
WT1,ALAR,0.0
WT1,ALAt2r,0.0
WT1,ALDD1,1.0
WT1,ALDD19x,0.0
WT1,ALDD2x,0.0
WT1,AMAOTr,0.0
WT1,AMID4,0.0
WT1,AMMQT8,0.0
WT1,AMMQT8_2,0.0
WT1,AMPTASECG,0.0
WT1,ANPRT,0.0
WT1,ANS,0.0
WT1,AOXSr,-1.0
WT1,APRAUR,0.0
WT1,ARACHTA,0.0
WT1,ARB_Dabc,0.0
WT1,ARBabc,0.0
WT1,ARBt2r,0.0
WT1,ARGDC,0.0
WT1,ARGDr,0.0
WT1,ARGSL,0.0
WT1,ARGSS,0.0
WT1,ARGt5r,0.0
WT1,ASAD,0.0
WT1,ASNN,0.0
WT1,ASNS1,0.0
WT1,ASNt2r,0.0
WT1,ASP1DC,0.0
WT1,ASPCT,-1.0
WT1,ASPK,0.0
WT1,ASPO5,1.0
WT1,ASPTA,0.0
WT1,ASPt2r,0.0
WT1,AST,0.0
WT1,ATPPRT,0.0
WT1,ATPS4r,0.0
WT1,BACCL,0.0
WT1,BALAt2r,0.0
WT1,BDH,0.0
WT1,BETALDHx,0.0
WT1,BMNMSHS,0.0
WT1,BMNt,0.0
WT1,BPNT,1.0
WT1,BTS2,0.0
WT1,BTS3r,0.0
WT1,CAATPS,0.0
WT1,CAT,1.0
WT1,CAt4,0.0
WT1,CBIAT,0.0
WT1,CBLAT,0.0
WT1,CBPS,0.0
WT1,CDAPPA160,0.0
WT1,CDAPPA160190,0.0
WT1,CDAPPA190,0.0
WT1,CDPMEK,0.0
WT1,CDPPT160,0.0
WT1,CDPPT160190,0.0
WT1,CHLabc,0.0
WT1,CHOLD,0.0
WT1,CHORM,0.0
WT1,CHORS,1.0
WT1,CHRPL,0.0
WT1,CIGAMS,0.0
WT1,CITLr,1.0
WT1,CITabc,0.0
WT1,CLPNS160190,0.0
WT1,CMCBTFL,-1.0
WT1,CMCBTFU,-1.0
WT1,CMLDC,0.0
WT1,CO2t,0.0
WT1,COAt,0.0
WT1,COBALTt5,0.0
WT1,COCHL,0.0
WT1,COt,0.0
WT1,CPC6R,0.0
WT1,CPPPGO,0.0
WT1,CRNabc,0.0
WT1,CS,1.0
WT1,CTPS1,0.0
WT1,CTPS2,0.0
WT1,CYANST,1.0
WT1,CYO1a,1.0
WT1,CYO1b,0.0
WT1,CYRDAAT,0.0
WT1,CYRDAR,0.0
WT1,CYSS,1.0
WT1,CYSTL,0.0
WT1,CYSTS,0.0
WT1,CYTBD,0.0
WT1,CYTBD2,0.0
WT1,CYTD,-1.0
WT1,CYTDK2,0.0
WT1,CYTDt2r,0.0
WT1,CYTK1,0.0
WT1,CYTK2,0.0
WT1,Clt,0.0
WT1,Cuabc,0.0
WT1,Cut1,0.0
WT1,DADA,0.0
WT1,DADK,0.0
WT1,DAGK160,0.0
WT1,DALAOX,0.0
WT1,DALAt2r,0.0
WT1,DAPDC,0.0
WT1,DAPE,0.0
WT1,DASYN160,0.0
WT1,DASYN160190,0.0
WT1,DASYN190190,0.0
WT1,DB4PS,0.0
WT1,DBTSr,0.0
WT1,DCPDP,0.0
WT1,DCPDPP,0.0
WT1,DCPDPS,0.0
WT1,DCPE,-1.0
WT1,DCPT,0.0
WT1,DCTPD,0.0
WT1,DCTPD2,0.0
WT1,DCYTD,0.0
WT1,DDPA,0.0
WT1,DESAT16,1.0
WT1,DESAT18,1.0
WT1,DGC3D,0.0
WT1,DGK1,0.0
WT1,DHAD1,0.0
WT1,DHAD2,0.0
WT1,DHDPRy,0.0
WT1,DHDPS,1.0
WT1,DHFR,0.0
WT1,DHFS,0.0
WT1,DHNAOT,0.0
WT1,DHNPA,1.0
WT1,DHNPA2,1.0
WT1,DHORTS,0.0
WT1,DHPPDA,0.0
WT1,DHPPDA2,0.0
WT1,DHPS2,1.0
WT1,DHQD,0.0
WT1,DHQS,0.0
WT1,DMATT,0.0
WT1,DMPPS,1.0
WT1,DNMPPA,0.0
