,Pantothenate and CoA Metabolism,whole_metabolism,"Alanine, Aspartate, and Glutamate Metabolism",Pyruvate Metabolism,Cofactor and Prosthetic Group Biosynthesis,Fatty Acid Metabolism,Arabinogalactan biosynthesis,Arginine and Proline Metabolism,Urea Cycle,"Valine, Leucine, and Isoleucine Metabolism",Citric Acid Cycle,Riboflavin Metabolism,Glycolysis/Gluconeogenesis,Alternate Carbon Metabolism,Purine and Pyrimidine Biosynthesis,Folate Metabolism,Nucleotide Salvage Pathway,Sulfur metabolism,Glycerophospholipid metabolism,Cysteine and methionine metabolism,Membrane Metabolism,Redox Metabolism,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",Other Amino Acid Metabolism,Transport,Histidine Metabolism,Oxidative Phosphorylation,Polyprenyl Metabolism,Miscellaneous,Threonine and Lysine Metabolism,Pentose Phosphate Pathway,Mycolic Acid Biosynthesis,Fructose and mannose metabolism,Phenolic glycolipid biosynthesis,Peptidoglycan Metabolism,Glyoxylate Metabolism,Inositol phosphate metabolism,Cholesterol degradation,Thiamine Metabolism,Propanoate metabolism,Propanoate Metabolism,Beta oxidation of unsaturated fatty acids,Arabinogalactan bioynthesis,tRNA Charging,p-HBAD biosynthesis,L-alpha-aminoadipic acid (L-AAA) biosynthesis,Lipid metabolism,Glycerolipid metabolism,Carbon metabolism,Mycobactin biosynthesis,Spermidine biosynthesis,Others,Starch and sucrose metabolism,Ergothioneine biosynthesis,Cofactor,Mycolic acid pathway,Nicotinate and nicotinamide metabolism,Unassigned,Degradation/Utilization/Assimilation,Fatty acid biosynthesis,Lipopolysaccharide Biosynthesis / Recycling,ko_max_growth,pagerank,eigenvector,betweeness,closeness,reaction_pagerank,reaction_eigenvector_centrality,reaction_betweeness_centrality,reaction_closeness_centrality,fva_min,fva_max
Rv1295,16.770023496943658,51006.45804816769,34.596829112875824,115.58072677274409,61.78765045229864,14386.692711918131,3.666828254210524,1.3594431995612584,2.3754404788939674,91.72209027348478,18.599548325796125,3.3893550748959904,123.11086305126445,4.029758396304219,39.14313041733411,4.421548141066416,4.384992200651009,1.1038268139988912,17.629630677824952,22.11427153304637,173.22615383686426,36.92340171686591,17.21733317470467,9.128997585169463,102.84611582252133,9.523795176881992,64.97036314946973,9.474407369253175,2.902414178661556,0.5847987355983442,1.8467243043741033,39.114695419713975,inf,,20.143884414802905,4.1024557904521215,1.24133673301973,137.7197808620848,9.082718368908823,2.0453042087260442,1.1841625244136227,5150.56078900666,inf,,,,11.428816026597609,0.538556486558299,0.2058120878314781,inf,14.34745019742859,3.102894107860956,3.526537761770372,1.4919521047556552,,4.809729767642052,3.5262502403304117,,,,0.5412174948893567,0.0,0.000978834722345191,6.235431511843638e-06,0.0036714702233992904,0.026919718607328547,0.0008404306351934713,0.02423882139839472,0.00013459069240401463,0.5860717472951655,0.002135595910116853,0.023423127416993074
Rv2573,84.4127877744237,49882.97537096966,18.76640656940183,28.73746714862743,106.4735056165282,10892.145729961725,5.866856567987339,1.5332465279168535,3.0769258732573563,193.29571528093746,6.962883249192798,2.974147237855026,33.99183366446301,4.3480322931519675,61.16050708010425,3.854648543649177,2.492221706595843,1.2363725313985443,26.362962739942027,23.020320910128987,100.03951579595264,13.440930485278566,19.950227733099283,18.96170026935573,63.082210621528695,25.860067605025385,71.32405009248157,21.5402516239317,4.285328806477551,0.29243675002866465,2.0664362725030845,31.546151805601824,inf,,24.308612584138473,8.485373046389292,1.588317877665252,110.43643926304186,7.036387352912372,2.1794556992659118,0.861752762257675,8433.374634609087,inf,,,,8.237539093156197,1.4218074510453624,0.19542283172115338,inf,,2.521614452250734,2.054818510471857,2.576811345025404,,3.93164884677812,3.048272291355226,,,,0.7497263073444618,0.0,0.0014810633567386542,2.475669093282075e-05,0.0003637899836601959,0.03439800084716572,0.0010155806151050002,0.03589880193401528,4.48174524276487e-05,0.6373568870163029,0.0,0.0023027770407502888
Rv3290c,11.378220614358177,50050.83047044004,25.340479898260682,203.86758049299638,97.9129522201554,7175.971236447273,4.656403436660494,2.65470836318208,2.843278858829217,45.088775121159024,44.99797187604296,7.176984751326912,233.1112498278907,3.7829987864260888,22.348654890085427,8.186106836719945,4.774525591861589,1.3285798247167557,35.99914486861918,22.11895996692816,114.79131392945595,23.33162849028844,16.102148582316268,4.382840998439503,149.260796559928,11.695182732279799,104.63025405029622,7.397588493332767,3.003528437210642,0.5678642922379962,1.749648263021545,32.37884153414535,2.313848453193897,,6.720174196687318,2.17097941861903,1.8635805171970627,101.23121382711147,7.618484181120528,1.392573552348267,1.2063038513882827,3823.0552861325314,0.5166084829008183,,,,6.506462111132481,0.8424433073023371,0.11458413109322227,150.1143733855648,14.935455220520236,4.283662350740441,4.254779187768629,1.2542593848431296,,3.392749734269678,1.818473294926617,,,,0.8240399823106622,0.016564701900079918,0.00016652789343008068,4.2102230656393466e-16,0.0,0.0,0.00028891460141888066,0.0026754119695727775,5.19606071781095e-05,0.46954019987181617,0.0,0.0
Rv2589,8.565512646483018,50185.586773913295,36.081062834073165,111.13019532145948,78.49105603322997,9986.482060053839,3.251161315892555,3.750327983930112,5.530343208166195,166.05046156912675,31.65410307022897,2.3783862441747075,105.18050984511272,2.8703401842767917,50.611001461238274,3.2492775669809943,3.4022758685533887,1.4481353446242842,2.3055584646861074,19.924343594560284,117.24188346611392,25.40520494062978,8.66209965482414,16.889365887484956,74.65846717550137,8.018527050352974,78.546687536918,19.647750109101978,2.163201179327722,0.5069187018362038,1.5211639625690656,48.58926009951958,16.850946899920338,,14.74099687428989,7.739927069531889,1.2836813634865871,105.41465584477746,8.504935226203662,1.7025632629068141,1.136591994582291,3242.801437586603,-0.2142540082196523,,,,6.921884882869559,1.12782234138149,0.15453385708230694,187.6723286573562,15.087768455372787,4.885026699539928,2.0029629711663137,0.947667952319383,,2.7228297730240127,1.7534073974154298,,,,0.6266108069697977,0.016564701900080088,0.000714853025584946,2.742040568775075e-06,0.00012829870597792198,0.023463608775621116,0.0002590517418595336,0.002393560008649203,3.823066707572925e-06,0.4664606538078421,0.0,0.0
Rv1323,7.23171781240516,46708.85777112258,17.321430538484524,98.73413345034159,35.30840632409169,10146.894051202995,3.144944828378292,2.168307075679041,1.9161852991191266,97.80264654570976,62.32087979824181,8.016054558847637,79.07276712959805,2.768572599376808,48.218984649042234,10.188450148945543,3.882832636125014,2.1677700138321296,2.422011179672971,13.163939234658393,108.308059576828,13.847258625853447,7.427050113512718,9.79579295794654,91.0347166172971,10.926801589698483,24.644280572988603,6.894605187549146,1.8080223434307021,0.3049023904800525,1.1789646933705498,37.714233605903054,1.524084128886453,,9.703038127922031,4.4961305343964595,2.836730453006266,135.6467583292006,8.824748597289995,1.1775978690853321,0.8511609000401064,8533.975940441282,0.4926171161822907,,,,11.17329161009184,0.38148903581737303,0.3837308902128152,80.71478819240114,,1.9916196806235393,2.910185173491578,1.2981560250597004,,2.5748050207243227,1.4969514595843838,,,,0.8672342055260363,0.016564701900079918,0.0012568775960178275,0.000986582472644627,0.005415136056456748,0.03688643664605157,0.0015965970579951525,0.042906673409704575,0.003644130993164045,0.7637814369361507,0.0,0.005620586180691112
Rv3535c,11.71792509012349,51251.24103602845,21.14462862572281,154.84796851783958,134.6577278880319,9793.908489824233,3.392781484014535,1.418100992249553,2.280462694100591,21.858463840593807,38.25542571653047,6.3103744195081095,160.43649504640493,1.9042689891363531,69.88603859243507,7.983856345576206,2.6341394412269095,0.7857290541160225,44.54204027177108,21.48396344156009,86.02815442598232,18.972865620546617,12.878821244964442,2.3943875795129146,97.56553331658287,11.247683404536556,100.93125721929893,30.301951913648804,2.0420405363747816,0.1565151060638314,1.3938629052964444,36.18851246417241,18.895101412818246,,10.513592878741171,1.5669888334974567,0.9418743944965614,238.640802980365,7.782674697040874,1.8123194534146903,0.8117582338982179,9195.510696343925,0.9108660553950545,,,,6.979168127638247,0.4328158441780264,0.23090478544536922,159.1425523561292,14.277665749336524,5.830097186951273,0.8964374674126315,1.4640008039723602,,2.0845861966580634,2.2868875664166417,,,,0.7688163562652569,0.01656470190007835,0.00036256119765488753,1.786951677344149e-05,9.838449992089354e-05,0.020781612015484296,0.0012004691296116487,0.03707814189273716,0.0015035846408569754,0.6661520741983068,0.0,0.0
Rv0254c,10.037365946507064,47809.100271367344,26.166324888284084,123.91393097630379,51.68796042742916,10706.319043417505,3.1687103424548955,3.07431024939639,2.1567106284418975,164.6943080769643,50.75970695796514,7.515826925971871,110.15843529652392,4.86585774415336,46.63772775280892,9.660565328251153,3.8461981193701957,1.491737669951879,22.281590919940545,18.67830384088845,116.2353081520892,23.134275447674863,15.453943372592677,16.504654074860102,80.61490573042033,13.050920710689311,24.07838642418925,26.813110358682803,4.125058974629249,0.4299456007548302,1.4554540907990254,28.744122824261463,2.652643711074906,,15.75562787235571,7.454220291987414,1.8963131754233336,128.68715270710064,9.07750758269753,1.579160036876666,1.0441278510002494,8216.46372329968,0.8373669365565909,,,,13.38734743872613,0.5722759695090638,0.3847626265034496,67.31808514647258,14.063859623816052,7.1968869210255875,1.2022720246707193,1.1542435319666589,,4.816368759215766,1.7741910293095735,,,,0.7305657278191927,0.01656470190008015,0.00016652789343008068,4.2102230656393466e-16,0.0,0.0,0.0012066254747185898,0.0387459809630133,0.0004532205730063684,0.6788691828579039,0.0,0.0
Rv3280,12.481624552722367,52888.95276068707,35.22246163846683,151.08264933219124,69.86347062417927,17593.835790582627,2.8651633918806416,2.5562554743520427,3.327108300776137,140.0117497543221,34.38013944558691,5.462354646624536,147.06462743864938,3.070013164110074,33.11701320198994,7.234267010833137,2.3679974977415017,1.7526111449895019,2.3026163726300783,18.953799897593562,85.93986719309082,34.88358749242762,11.741330879821069,13.94617863304786,62.33251148592216,13.783003447104212,99.61267996368029,27.9303312923052,3.668238828816804,0.7763044192361099,0.8506806890092999,29.347026765053712,inf,,22.367215945344455,6.236600515465462,1.7107550385822867,116.58298352804765,11.697572021335914,20.176113932670063,0.8173544185576804,6559.765026920892,inf,,,,13.986684239267126,0.6647568648170767,0.17530860445610472,inf,,5.229538278911774,1.8015907723728817,4.166350843908732,,13.407034199848447,2.8870324197113213,,,,0.5726375864897131,0.0,0.001960532320703032,0.0645728330752922,0.0013434802320278774,0.042465493442696296,0.0013634718533990244,0.04193221393107626,0.0009014717530015751,0.7261657745765325,0.0,0.01645246425002022
Rv0904c,13.036394688360831,51598.49015587498,27.305170357264927,34.811399211003575,85.75597156709694,10685.998714413954,2.9399369940999374,3.8638246401789567,2.079414497286411,144.6366453223455,19.552789306379612,4.242402506148989,35.30880354145321,3.107621948458423,83.6141883213547,5.282022386266696,2.8641909780364356,0.6693831201180719,27.749822771694795,13.198698341620986,107.72453237836709,24.135761709264575,9.581373397912305,14.165041639668571,76.33085873947766,14.0808420669071,35.472439240546514,4.818625216407107,2.8403205474402795,0.5512734995829665,1.0228175617497195,36.68071611527453,2.71975338897409,,4.036525893549247,6.355355317559011,1.4868479783325337,139.47140091598152,9.323325125790916,3.9580498321103024,1.2215118580119921,7679.446244039195,0.6290020228879892,,,,11.190715965995949,0.6353457719603571,0.2524945632562494,57.02645448983909,,1.7950245753966172,2.728570592515533,1.6453686346189393,,5.920018745862664,2.544103194457437,,,,0.6707327549353737,0.016564701900079984,0.0008979626144280845,3.293421685172986e-05,1.5511069807348085e-05,0.022670036924318526,0.0010716701437288143,0.03635901393619615,0.0002244527345374535,0.6493372796293914,0.0,0.0
Rv3281,15.669581027207284,54917.07000371791,26.85482950360797,204.9254216369593,69.37775070127833,18122.27583016134,3.306450427619031,2.7245023704094007,2.5656493390480772,129.48024433338156,75.59331297615775,15.008385801711976,227.90837654365572,3.902371556887999,56.31117437534916,18.87033048953006,2.8888775424352025,1.656922144777375,12.654133243560668,17.40618999798774,129.98876444712644,24.651689829507088,12.614432769194744,12.795766957916934,134.39872131481906,9.230051565964372,110.05826962660299,20.79186692126846,3.901451936992949,0.22912585405255653,1.3144166639127188,50.88695514732889,inf,,20.530214127742425,5.638684133115205,2.041089071757408,116.0136474135017,7.663349734048419,20.111108440832712,1.4943427586714073,6883.819498120145,inf,,,,15.968840087488287,0.9698404372774245,0.14678203118645497,inf,,2.943326246142215,3.6238288578838516,1.7195987913081978,,13.30524288365265,3.605246820287293,,,,0.3973258699694331,0.0,0.0005046995789239226,1.1315452429840178e-05,0.001082229499129829,0.026274274204398235,0.0012180682977966728,0.03877373715773959,0.0006169234548665135,0.6803973070736785,0.0,0.01645246425002022
